name,protocol,port,description,group
AOL,TCP,5190,,test_group
Bittorrent,TCP,6881-6889,,test_group
Cisco_TNA_TCP_131,TCP,131,,
CMIP_TCP_163,TCP,167,,
DNS_over_TCP,TCP,53,,
DNS_over_UDP,UDP,53,,
FTP,TCP,21,,
FTP_Data_TCP_20,TCP,20,,
Horizon_MMR_TCP_9427,TCP,9427,,
HTTP,TCP,80,,
HTTPS,TCP,443,,
IMAP,TCP,143,,
Kerberos_TCP_88,TCP,88,Kerberos,Kerberos
Kerberos_UDP_88,UDP,88,Kerberos,Kerberos
Kpasswd_TCP_464,TCP,464,Kerberos change/set password,Kerberos
Kpasswd_UDP_464,UDP,464,Kerberos change/set password,Kerberos
LDAP,TCP,389,,
LDAP_GC_TCP_3269,TCP,3269,,
LDAP_UDP_389,UDP,389,,
LDAPS_TCP_636,TCP,636,,
LDAPS_UDP_636,UDP,636,,
MS_Teams,UDP,3478,,test_group
NFSD-TCP,TCP,2049,,
NFSD-UDP,UDP,2049,,
NTP-TCP,TCP,123,,
NTP-UDP,UDP,123,,
PCoIP_TCP_4172,TCP,4172,,
PCoIP_UDP_4172,UDP,4172,,
POP-2,TCP,109,,
POP-3,TCP,110,,
RADIUS,UDP,1645,,
RIP,UDP,520,,
RSH_TCP_514,TCP,514,Remote shell,
SAPRTR_TCP_3299,TCP,3299,,
SIP,UDP,5060,,
SIP_TLS_TCP_5061,TCP,5061,,
SMB_TCP_445,TCP,445,,
SMTP,TCP,25,,
SMTPS,TCP,465,,
SNMP,UDP,161,,
SSH,TCP,22,,
Sunrpc_TCP_111,TCP,111,SUNRPC,
SYSLOG,UDP,514,,
TCP_20021,TCP,20021,,
TCP_2010,TCP,2010,,
TCP_2020,TCP,2020,,
TCP_20990,TCP,20990,,
TCP_high_ports,TCP,1021-65535,,
TELNET,TCP,23,,
TEST-Cisco_TNA_TCP_131,TCP,131,,
Test-CMIP_TCP_163,TCP,163,,test_group1
Test-FTP_Data_TCP_20,TCP,20,,
Test-Horizon_MMR_TCP_9427,TCP,9427,,
Test-Kerberos_TCP_88,TCP,88,,
Test-Kerberos_UDP_88,UDP,88,,test_group1
Test-Kpasswd_TCP_464,TCP,464,,
Test-Kpasswd_UDP_464,UDP,464,,
Test-LDAP_GC_TCP_3269,TCP,3269,,
Test-LDAP_UDP_389,UDP,389,,
Test-LDAPS_TCP_636,TCP,636,,
Test-LDAPS_UDP_636,UDP,636,,
Test-MS_Teams,UDP,3478,,
Test-PCoIP_TCP_4172,TCP,4172,,
Test-PCoIP_UDP_4172,UDP,4172,,test_group1
Test-RSH_TCP_514,TCP,514,,
Test-SAPRTR_TCP_3299,TCP,3299,,
Test-SIP_TLS_TCP_5061,TCP,5061,,
Test-SMB_TCP_445,TCP,,,
Test-Sunrpc_TCP_111,TCP,111,,
Test-TCP_20021,TCP,20021,,test_group2
Test-TCP_2010,TCP,2010,,
Test-TCP_2020,TCP,2020,,
Test-TCP_20990,TCP,20990,,
Test-TCP_22443,TCP,22443,,
Test-TCP_26100-26299,TCP,26100-26299,,
Test-TCP_32111,TCP,32111,,
Test-TCP_32115,TCP,32115,,test_group2
Test-TCP_3268,TCP,3268,,
Test-TCP_3433,TCP,3433,,
Test-TCP_50000-59999,TCP,50000-59999,,
Test-TCP_50001,TCP,50001,,
Test-TCP_50002,TCP,50002,,test_group2
Test-UDP_SNMPTRAP,UDP,162,,
test_port,UDP,70,,
TFTP,UDP,69,,
UDP_SNMPTRAP,UDP,162,SNMP Traps,
Yahoo_Messenger_Messages,TCP,5050,,
YahooMessenger_Voice_Chat_TCP,TCP,5000-5001,,test_group
YahooMessenger_Voice_Chat_UDP,UDP,5000-5010,,
AOL,TCP,5190,,test_group
Bittorrent,TCP,6881-6889,,test_group
Cisco_TNA_TCP_131,TCP,131,,
CMIP_TCP_163,TCP,167,,
DNS_over_TCP,TCP,53,,
DNS_over_UDP,UDP,53,,
FTP,TCP,21,,
FTP_Data_TCP_20,TCP,20,,
Horizon_MMR_TCP_9427,TCP,9427,,
HTTP,TCP,80,,
HTTPS,TCP,443,,
IMAP,TCP,143,,
Kerberos_TCP_88,TCP,88,Kerberos,Kerberos
Kerberos_UDP_88,UDP,88,Kerberos,Kerberos
Kpasswd_TCP_464,TCP,464,Kerberos change/set password,Kerberos
Kpasswd_UDP_464,UDP,464,Kerberos change/set password,Kerberos
LDAP,TCP,389,,
LDAP_GC_TCP_3269,TCP,3269,,
LDAP_UDP_389,UDP,389,,
LDAPS_TCP_636,TCP,636,,
LDAPS_UDP_636,UDP,636,,
MS_Teams,UDP,3478,,test_group
NFSD-TCP,TCP,2049,,
NFSD-UDP,UDP,2049,,
NTP-TCP,TCP,123,,
NTP-UDP,UDP,123,,
PCoIP_TCP_4172,TCP,4172,,
PCoIP_UDP_4172,UDP,4172,,
POP-2,TCP,109,,
POP-3,TCP,110,,
RADIUS,UDP,1645,,
RIP,UDP,520,,
RSH_TCP_514,TCP,514,Remote shell,
SAPRTR_TCP_3299,TCP,3299,,
SIP,UDP,5060,,
SIP_TLS_TCP_5061,TCP,5061,,
SMB_TCP_445,TCP,445,,
SMTP,TCP,25,,
SMTPS,TCP,465,,
SNMP,UDP,161,,
SSH,TCP,22,,
Sunrpc_TCP_111,TCP,111,SUNRPC,
SYSLOG,UDP,514,,
TCP_20021,TCP,20021,,
TCP_2010,TCP,2010,,
TCP_2020,TCP,2020,,
TCP_20990,TCP,20990,,
TCP_high_ports,TCP,1021-65535,,
TELNET,TCP,23,,
TEST-Cisco_TNA_TCP_131,TCP,131,,
Test-CMIP_TCP_163,TCP,163,,test_group1
Test-FTP_Data_TCP_20,TCP,20,,
Test-Horizon_MMR_TCP_9427,TCP,9427,,
Test-Kerberos_TCP_88,TCP,88,,
Test-Kerberos_UDP_88,UDP,88,,test_group1
Test-Kpasswd_TCP_464,TCP,464,,
Test-Kpasswd_UDP_464,UDP,464,,
Test-LDAP_GC_TCP_3269,TCP,3269,,
Test-LDAP_UDP_389,UDP,389,,
Test-LDAPS_TCP_636,TCP,636,,
Test-LDAPS_UDP_636,UDP,636,,
Test-MS_Teams,UDP,3478,,
Test-PCoIP_TCP_4172,TCP,4172,,
Test-PCoIP_UDP_4172,UDP,4172,,test_group1
Test-RSH_TCP_514,TCP,514,,
Test-SAPRTR_TCP_3299,TCP,3299,,
Test-SIP_TLS_TCP_5061,TCP,5061,,
Test-SMB_TCP_445,TCP,,,
Test-Sunrpc_TCP_111,TCP,111,,
Test-TCP_20021,TCP,20021,,test_group2
Test-TCP_2010,TCP,2010,,
Test-TCP_2020,TCP,2020,,
Test-TCP_20990,TCP,20990,,
Test-TCP_22443,TCP,22443,,
Test-TCP_26100-26299,TCP,26100-26299,,
Test-TCP_32111,TCP,32111,,
Test-TCP_32115,TCP,32115,,test_group2
Test-TCP_3268,TCP,3268,,
Test-TCP_3433,TCP,3433,,
Test-TCP_50000-59999,TCP,50000-59999,,
Test-TCP_50001,TCP,50001,,
Test-TCP_50002,TCP,50002,,test_group2
Test-UDP_SNMPTRAP,UDP,162,,
test_port,UDP,70,,
TFTP,UDP,69,,
UDP_SNMPTRAP,UDP,162,SNMP Traps,
Yahoo_Messenger_Messages,TCP,5050,,
YahooMessenger_Voice_Chat_TCP,TCP,5000-5001,,test_group
YahooMessenger_Voice_Chat_UDP,UDP,5000-5010,,
Kerberos,Group,Kerberos_TCP_88; Kerberos_UDP_88; Kpasswd_TCP_464; Kpasswd_UDP_464,,
test_group,Group,AOL; Bittorrent; MS_Teams; YahooMessenger_Voice_Chat_TCP,,
test_group1,Group,Test-CMIP_TCP_163; Test-Kerberos_UDP_88; Test-PCoIP_UDP_4172,,
test_group2,Group,Test-TCP_32115; Test-TCP_50002; Test-TCP_20021,,
